# Images of the six Steane stabilizer generators under the standard H/P/CNOT Clifford generating gates.
gate,gate_kind,source,image_sign,image,signed_image,image_list_rank,image_list_isotropic
H1,H,X1,1,0111000|1000000,+0111000|1000000,6,true
H1,H,X2,1,0100110|1000000,+0100110|1000000,6,true
H1,H,X3,1,0010101|1000000,+0010101|1000000,6,true
H1,H,Z1,1,1000000|0111000,+1000000|0111000,6,true
H1,H,Z2,1,1000000|0100110,+1000000|0100110,6,true
H1,H,Z3,1,1000000|0010101,+1000000|0010101,6,true
H2,H,X1,1,1011000|0100000,+1011000|0100000,6,true
H2,H,X2,1,1000110|0100000,+1000110|0100000,6,true
H2,H,X3,1,1010101|0000000,+1010101|0000000,6,true
H2,H,Z1,1,0100000|1011000,+0100000|1011000,6,true
H2,H,Z2,1,0100000|1000110,+0100000|1000110,6,true
H2,H,Z3,1,0000000|1010101,+0000000|1010101,6,true
H3,H,X1,1,1101000|0010000,+1101000|0010000,6,true
H3,H,X2,1,1100110|0000000,+1100110|0000000,6,true
H3,H,X3,1,1000101|0010000,+1000101|0010000,6,true
H3,H,Z1,1,0010000|1101000,+0010000|1101000,6,true
H3,H,Z2,1,0000000|1100110,+0000000|1100110,6,true
H3,H,Z3,1,0010000|1000101,+0010000|1000101,6,true
H4,H,X1,1,1110000|0001000,+1110000|0001000,6,true
H4,H,X2,1,1100110|0000000,+1100110|0000000,6,true
H4,H,X3,1,1010101|0000000,+1010101|0000000,6,true
H4,H,Z1,1,0001000|1110000,+0001000|1110000,6,true
H4,H,Z2,1,0000000|1100110,+0000000|1100110,6,true
H4,H,Z3,1,0000000|1010101,+0000000|1010101,6,true
H5,H,X1,1,1111000|0000000,+1111000|0000000,6,true
H5,H,X2,1,1100010|0000100,+1100010|0000100,6,true
H5,H,X3,1,1010001|0000100,+1010001|0000100,6,true
H5,H,Z1,1,0000000|1111000,+0000000|1111000,6,true
H5,H,Z2,1,0000100|1100010,+0000100|1100010,6,true
H5,H,Z3,1,0000100|1010001,+0000100|1010001,6,true
H6,H,X1,1,1111000|0000000,+1111000|0000000,6,true
H6,H,X2,1,1100100|0000010,+1100100|0000010,6,true
H6,H,X3,1,1010101|0000000,+1010101|0000000,6,true
