# Elementary GL6 presentation moves and their number-preserving fermionic Gaussian ghost lifts.
operation,a,b,generator_change,projector_identity,ghost_gaussian,checked_syndromes,identity_holds,zero_syndrome_map
row_swap,1,2,S1<->S2,P(S1)<->P(S2),epsilon_1->eta_2;epsilon_2->eta_1,0,true,same_swap
row_swap,1,3,S1<->S3,P(S1)<->P(S3),epsilon_1->eta_3;epsilon_3->eta_1,0,true,same_swap
row_swap,1,4,S1<->S4,P(S1)<->P(S4),epsilon_1->eta_4;epsilon_4->eta_1,0,true,same_swap
row_swap,1,5,S1<->S5,P(S1)<->P(S5),epsilon_1->eta_5;epsilon_5->eta_1,0,true,same_swap
row_swap,1,6,S1<->S6,P(S1)<->P(S6),epsilon_1->eta_6;epsilon_6->eta_1,0,true,same_swap
row_swap,2,3,S2<->S3,P(S2)<->P(S3),epsilon_2->eta_3;epsilon_3->eta_2,0,true,same_swap
row_swap,2,4,S2<->S4,P(S2)<->P(S4),epsilon_2->eta_4;epsilon_4->eta_2,0,true,same_swap
row_swap,2,5,S2<->S5,P(S2)<->P(S5),epsilon_2->eta_5;epsilon_5->eta_2,0,true,same_swap
row_swap,2,6,S2<->S6,P(S2)<->P(S6),epsilon_2->eta_6;epsilon_6->eta_2,0,true,same_swap
row_swap,3,4,S3<->S4,P(S3)<->P(S4),epsilon_3->eta_4;epsilon_4->eta_3,0,true,same_swap
row_swap,3,5,S3<->S5,P(S3)<->P(S5),epsilon_3->eta_5;epsilon_5->eta_3,0,true,same_swap
row_swap,3,6,S3<->S6,P(S3)<->P(S6),epsilon_3->eta_6;epsilon_6->eta_3,0,true,same_swap
row_swap,4,5,S4<->S5,P(S4)<->P(S5),epsilon_4->eta_5;epsilon_5->eta_4,0,true,same_swap
row_swap,4,6,S4<->S6,P(S4)<->P(S6),epsilon_4->eta_6;epsilon_6->eta_4,0,true,same_swap
row_swap,5,6,S5<->S6,P(S5)<->P(S6),epsilon_5->eta_6;epsilon_6->eta_5,0,true,same_swap
row_shear,1,2,S1->S1*S2,P(S1*S2)=P(S1)+S1*P(S2),epsilon_1->eta_1;epsilon_2->eta_2+S1*eta_1,64,true,epsilon_2->eta_2+eta_1
row_shear,1,3,S1->S1*S3,P(S1*S3)=P(S1)+S1*P(S3),epsilon_1->eta_1;epsilon_3->eta_3+S1*eta_1,64,true,epsilon_3->eta_3+eta_1
row_shear,1,4,S1->S1*S4,P(S1*S4)=P(S1)+S1*P(S4),epsilon_1->eta_1;epsilon_4->eta_4+S1*eta_1,64,true,epsilon_4->eta_4+eta_1
row_shear,1,5,S1->S1*S5,P(S1*S5)=P(S1)+S1*P(S5),epsilon_1->eta_1;epsilon_5->eta_5+S1*eta_1,64,true,epsilon_5->eta_5+eta_1
row_shear,1,6,S1->S1*S6,P(S1*S6)=P(S1)+S1*P(S6),epsilon_1->eta_1;epsilon_6->eta_6+S1*eta_1,64,true,epsilon_6->eta_6+eta_1
row_shear,2,1,S2->S2*S1,P(S2*S1)=P(S2)+S2*P(S1),epsilon_2->eta_2;epsilon_1->eta_1+S2*eta_2,64,true,epsilon_1->eta_1+eta_2
row_shear,2,3,S2->S2*S3,P(S2*S3)=P(S2)+S2*P(S3),epsilon_2->eta_2;epsilon_3->eta_3+S2*eta_2,64,true,epsilon_3->eta_3+eta_2
row_shear,2,4,S2->S2*S4,P(S2*S4)=P(S2)+S2*P(S4),epsilon_2->eta_2;epsilon_4->eta_4+S2*eta_2,64,true,epsilon_4->eta_4+eta_2
row_shear,2,5,S2->S2*S5,P(S2*S5)=P(S2)+S2*P(S5),epsilon_2->eta_2;epsilon_5->eta_5+S2*eta_2,64,true,epsilon_5->eta_5+eta_2
row_shear,2,6,S2->S2*S6,P(S2*S6)=P(S2)+S2*P(S6),epsilon_2->eta_2;epsilon_6->eta_6+S2*eta_2,64,true,epsilon_6->eta_6+eta_2
row_shear,3,1,S3->S3*S1,P(S3*S1)=P(S3)+S3*P(S1),epsilon_3->eta_3;epsilon_1->eta_1+S3*eta_3,64,true,epsilon_1->eta_1+eta_3
row_shear,3,2,S3->S3*S2,P(S3*S2)=P(S3)+S3*P(S2),epsilon_3->eta_3;epsilon_2->eta_2+S3*eta_3,64,true,epsilon_2->eta_2+eta_3
row_shear,3,4,S3->S3*S4,P(S3*S4)=P(S3)+S3*P(S4),epsilon_3->eta_3;epsilon_4->eta_4+S3*eta_3,64,true,epsilon_4->eta_4+eta_3
row_shear,3,5,S3->S3*S5,P(S3*S5)=P(S3)+S3*P(S5),epsilon_3->eta_3;epsilon_5->eta_5+S3*eta_3,64,true,epsilon_5->eta_5+eta_3
row_shear,3,6,S3->S3*S6,P(S3*S6)=P(S3)+S3*P(S6),epsilon_3->eta_3;epsilon_6->eta_6+S3*eta_3,64,true,epsilon_6->eta_6+eta_3
row_shear,4,1,S4->S4*S1,P(S4*S1)=P(S4)+S4*P(S1),epsilon_4->eta_4;epsilon_1->eta_1+S4*eta_4,64,true,epsilon_1->eta_1+eta_4
row_shear,4,2,S4->S4*S2,P(S4*S2)=P(S4)+S4*P(S2),epsilon_4->eta_4;epsilon_2->eta_2+S4*eta_4,64,true,epsilon_2->eta_2+eta_4
row_shear,4,3,S4->S4*S3,P(S4*S3)=P(S4)+S4*P(S3),epsilon_4->eta_4;epsilon_3->eta_3+S4*eta_4,64,true,epsilon_3->eta_3+eta_4
row_shear,4,5,S4->S4*S5,P(S4*S5)=P(S4)+S4*P(S5),epsilon_4->eta_4;epsilon_5->eta_5+S4*eta_4,64,true,epsilon_5->eta_5+eta_4
row_shear,4,6,S4->S4*S6,P(S4*S6)=P(S4)+S4*P(S6),epsilon_4->eta_4;epsilon_6->eta_6+S4*eta_4,64,true,epsilon_6->eta_6+eta_4
row_shear,5,1,S5->S5*S1,P(S5*S1)=P(S5)+S5*P(S1),epsilon_5->eta_5;epsilon_1->eta_1+S5*eta_5,64,true,epsilon_1->eta_1+eta_5
row_shear,5,2,S5->S5*S2,P(S5*S2)=P(S5)+S5*P(S2),epsilon_5->eta_5;epsilon_2->eta_2+S5*eta_5,64,true,epsilon_2->eta_2+eta_5
row_shear,5,3,S5->S5*S3,P(S5*S3)=P(S5)+S5*P(S3),epsilon_5->eta_5;epsilon_3->eta_3+S5*eta_5,64,true,epsilon_3->eta_3+eta_5
row_shear,5,4,S5->S5*S4,P(S5*S4)=P(S5)+S5*P(S4),epsilon_5->eta_5;epsilon_4->eta_4+S5*eta_5,64,true,epsilon_4->eta_4+eta_5
row_shear,5,6,S5->S5*S6,P(S5*S6)=P(S5)+S5*P(S6),epsilon_5->eta_5;epsilon_6->eta_6+S5*eta_5,64,true,epsilon_6->eta_6+eta_5
row_shear,6,1,S6->S6*S1,P(S6*S1)=P(S6)+S6*P(S1),epsilon_6->eta_6;epsilon_1->eta_1+S6*eta_6,64,true,epsilon_1->eta_1+eta_6
row_shear,6,2,S6->S6*S2,P(S6*S2)=P(S6)+S6*P(S2),epsilon_6->eta_6;epsilon_2->eta_2+S6*eta_6,64,true,epsilon_2->eta_2+eta_6
row_shear,6,3,S6->S6*S3,P(S6*S3)=P(S6)+S6*P(S3),epsilon_6->eta_6;epsilon_3->eta_3+S6*eta_6,64,true,epsilon_3->eta_3+eta_6
