# in-memory MVP review export from local finite_ring_mvp_* helpers; finite_rings.sqlite is not read or written; schema/index registration deferred to 16c
presentation_id,name,canonical_ring_id,canonical_name,link_status,presentation_type,order_exact,characteristic_exact,additive_invariants_json,source_locator
pres:83d0d63697acfd22c374c03f36d81438e0eea46f5f55a38a763dba64cf841b62,zero_ring,ring:fcd580ceb627f5b86c87117afd6a277198272c54d72792768df9448054f64ea8,zero_ring,canonical,manual_mvp_structure_constants,1,1,[],src/ArithmeticQuantumMechanics/FiniteRingDatabaseConstructors.jl finite_ring_mvp_examples; CONVENTIONS.md (an)
pres:441c236c4f77dcbe7a5bae0a0e3eb4a14b4b57391a769f61889e7bcd4ab5f5aa,F_2,ring:532e6eb83d02b10883ad914404e41114ac3f888ce4097bf751978050c77bfc2f,F_2,canonical,manual_mvp_structure_constants,2,2,[2],src/ArithmeticQuantumMechanics/FiniteRingDatabaseConstructors.jl finite_ring_mvp_examples; CONVENTIONS.md (an)
pres:358cfedc297893660e14c25b45bd8a948888b83a95e773fb7bb09c1fc8e51b8f,F_3,ring:02a6812becb7ebafd7ef3280b97ebf4f8634da4caab0eaad51e5f2569ea1b8a8,F_3,canonical,manual_mvp_structure_constants,3,3,[3],src/ArithmeticQuantumMechanics/FiniteRingDatabaseConstructors.jl finite_ring_mvp_examples; CONVENTIONS.md (an)
pres:4403a309f5d75da523e4930ccc63ffccf02c00c50cad5825e9364aa73e9d7eca,F_5,ring:2ba1fcde75f79acef9a9463aeeba0a9bcef5822115f07ac1ecf07e9ab5c88bb5,F_5,canonical,manual_mvp_structure_constants,5,5,[5],src/ArithmeticQuantumMechanics/FiniteRingDatabaseConstructors.jl finite_ring_mvp_examples; CONVENTIONS.md (an)
pres:84f14de444708985cbfa55c4bbcc555496d0c07b3987e3dc3c998639e333b697,Z/4Z,ring:907489c7cc1599b299c1a37f0da70863a5d326d5442c19ba4364be42146a790c,Z/4Z,canonical,manual_mvp_structure_constants,4,4,[4],src/ArithmeticQuantumMechanics/FiniteRingDatabaseConstructors.jl finite_ring_mvp_examples; CONVENTIONS.md (an)
pres:3879c5d2cd25d0bbceea535fc52deb6bf4f116387ecbd14e4b32b8440a4dbfa8,Z/6Z,ring:4d485354ced18f95307a18eb7c3ced79d2624de3d1b09cbdca99a2f7da16a59b,Z/6Z,canonical,manual_mvp_structure_constants,6,6,[6],src/ArithmeticQuantumMechanics/FiniteRingDatabaseConstructors.jl finite_ring_mvp_examples; CONVENTIONS.md (an)
pres:88cac82b288c15c4a17ee910ace2f9b56937a799127de0e76947620d330ace00,Z/8Z,ring:237bad4c5b342c2f72111fa53d1d31eb687d1e7741c1cf5c8eaf587077389b14,Z/8Z,canonical,manual_mvp_structure_constants,8,8,[8],src/ArithmeticQuantumMechanics/FiniteRingDatabaseConstructors.jl finite_ring_mvp_examples; CONVENTIONS.md (an)
pres:048dac7823f92d4c7104ea3acadcdd0e22adeca823c99cca49b66a54841f54c2,Z/9Z,ring:24c6ba79d7964c38dddc2f0f9bb289378cee7aa595f875657462db7e90908eb5,Z/9Z,canonical,manual_mvp_structure_constants,9,9,[9],src/ArithmeticQuantumMechanics/FiniteRingDatabaseConstructors.jl finite_ring_mvp_examples; CONVENTIONS.md (an)
pres:dbd52320dff7d72e5296e5da8cc4f155b55129908ee0b8337718d350f524592f,F_2[e]/(e^2),ring:b8a4b39f9d8c45148bca959fcefda70172655b1b9a5c25e9a58230c6658eb108,F_2[e]/(e^2),canonical,manual_mvp_structure_constants,4,2,"[2,2]",src/ArithmeticQuantumMechanics/FiniteRingDatabaseConstructors.jl finite_ring_mvp_examples; CONVENTIONS.md (an)
pres:0ccb8f7de28e7128437f159df0aa70e9c8ada0e29d06699179e4171fc810d348,F_3[e]/(e^2),ring:5863e071dc60abc381e24d4efb8e14add303c631125ae9a96f81b503b345028e,F_3[e]/(e^2),canonical,manual_mvp_structure_constants,9,3,"[3,3]",src/ArithmeticQuantumMechanics/FiniteRingDatabaseConstructors.jl finite_ring_mvp_examples; CONVENTIONS.md (an)
pres:6a3617200cab90b873c74b3b6281c4c7c9e1f820bffea26520ebe976247e5213,F_2xF_2,ring:0aa5c251a3f477e7c5513307d47e406e3657188e7f5ee728ead10a3396d31499,F_2xF_2,canonical,manual_mvp_structure_constants,4,2,"[2,2]",src/ArithmeticQuantumMechanics/FiniteRingDatabaseConstructors.jl finite_ring_mvp_examples; CONVENTIONS.md (an)
pres:2007f2be905089024b9210ab4cc3b0ffd491d261e304ae00b102f440aed6ff72,F_2xF_3,ring:4d485354ced18f95307a18eb7c3ced79d2624de3d1b09cbdca99a2f7da16a59b,Z/6Z,certified_isomorphic_merge,manual_mvp_structure_constants,6,6,[6],src/ArithmeticQuantumMechanics/FiniteRingDatabaseConstructors.jl finite_ring_mvp_examples; CONVENTIONS.md (an)
pres:07a351d0937f73c547fd75b5da83c72178eb02c40cf72d1a37ffcc07ca47f01a,F_3xF_3,ring:1daf259eea320ff7bb4570b15bdc9602c35c53903943bf1ae076303f2b5f382c,F_3xF_3,canonical,manual_mvp_structure_constants,9,3,"[3,3]",src/ArithmeticQuantumMechanics/FiniteRingDatabaseConstructors.jl finite_ring_mvp_examples; CONVENTIONS.md (an)
