# Exact symbolic stalk rows for P1(F3), O(d), d=0..4, at the four rational points used by the finite pairing.
d,point_label,homogeneous_prime,chart,local_coordinate,local_maximal_ideal,local_ring,residue_field,local_frame,basis_label,x_exponent,y_exponent,germ_in_frame,residue_value
0,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(0),1,0,0,e_X^(0),1
0,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(0),1,0,0,e_Y^(0),1
0,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(0),1,0,0,e_Y^(0),1
0,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(0),1,0,0,e_Y^(0),1
1,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(1),X,1,0,e_X^(1),1
1,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(1),Y,0,1,u*e_X^(1),0
1,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(1),X,1,0,v*e_Y^(1),0
1,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(1),Y,0,1,e_Y^(1),1
1,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(1),X,1,0,v*e_Y^(1),1
1,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(1),Y,0,1,e_Y^(1),1
1,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(1),X,1,0,v*e_Y^(1),2
1,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(1),Y,0,1,e_Y^(1),1
2,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(2),X^2,2,0,e_X^(2),1
2,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(2),XY,1,1,u*e_X^(2),0
2,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(2),Y^2,0,2,u^2*e_X^(2),0
2,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(2),X^2,2,0,v^2*e_Y^(2),0
2,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(2),XY,1,1,v*e_Y^(2),0
2,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(2),Y^2,0,2,e_Y^(2),1
2,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(2),X^2,2,0,v^2*e_Y^(2),1
2,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(2),XY,1,1,v*e_Y^(2),1
2,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(2),Y^2,0,2,e_Y^(2),1
2,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(2),X^2,2,0,v^2*e_Y^(2),1
2,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(2),XY,1,1,v*e_Y^(2),2
2,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(2),Y^2,0,2,e_Y^(2),1
3,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(3),X^3,3,0,e_X^(3),1
3,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(3),X^2Y,2,1,u*e_X^(3),0
3,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(3),XY^2,1,2,u^2*e_X^(3),0
3,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(3),Y^3,0,3,u^3*e_X^(3),0
3,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(3),X^3,3,0,v^3*e_Y^(3),0
3,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(3),X^2Y,2,1,v^2*e_Y^(3),0
3,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(3),XY^2,1,2,v*e_Y^(3),0
3,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(3),Y^3,0,3,e_Y^(3),1
3,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(3),X^3,3,0,v^3*e_Y^(3),1
3,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(3),X^2Y,2,1,v^2*e_Y^(3),1
3,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(3),XY^2,1,2,v*e_Y^(3),1
3,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(3),Y^3,0,3,e_Y^(3),1
3,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(3),X^3,3,0,v^3*e_Y^(3),2
3,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(3),X^2Y,2,1,v^2*e_Y^(3),1
3,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(3),XY^2,1,2,v*e_Y^(3),2
3,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(3),Y^3,0,3,e_Y^(3),1
4,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(4),X^4,4,0,e_X^(4),1
4,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(4),X^3Y,3,1,u*e_X^(4),0
4,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(4),X^2Y^2,2,2,u^2*e_X^(4),0
4,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(4),XY^3,1,3,u^3*e_X^(4),0
4,[1:0],(Y),D_+(X),u=Y/X,(u),F3[u]_(u),F3,e_X^(4),Y^4,0,4,u^4*e_X^(4),0
4,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(4),X^4,4,0,v^4*e_Y^(4),0
4,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(4),X^3Y,3,1,v^3*e_Y^(4),0
4,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(4),X^2Y^2,2,2,v^2*e_Y^(4),0
4,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(4),XY^3,1,3,v*e_Y^(4),0
4,[0:1],(X),D_+(Y),v=X/Y,(v),F3[v]_(v),F3,e_Y^(4),Y^4,0,4,e_Y^(4),1
4,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(4),X^4,4,0,v^4*e_Y^(4),1
4,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(4),X^3Y,3,1,v^3*e_Y^(4),1
4,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(4),X^2Y^2,2,2,v^2*e_Y^(4),1
4,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(4),XY^3,1,3,v*e_Y^(4),1
4,[1:1],(X-Y),D_+(Y),v=X/Y,(v-1),F3[v]_(v-1),F3,e_Y^(4),Y^4,0,4,e_Y^(4),1
4,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(4),X^4,4,0,v^4*e_Y^(4),1
4,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(4),X^3Y,3,1,v^3*e_Y^(4),2
4,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(4),X^2Y^2,2,2,v^2*e_Y^(4),1
4,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(4),XY^3,1,3,v*e_Y^(4),2
4,[2:1],(X-2Y)=(X+Y),D_+(Y),v=X/Y,(v-2),F3[v]_(v-2),F3,e_Y^(4),Y^4,0,4,e_Y^(4),1
