# in-memory MVP review export from local finite_ring_mvp_* helpers; finite_rings.sqlite is not read or written; schema/index registration deferred to 16c
quantization_id,canonical_ring_id,presentation_name,layer,status,hilbert_dim_exact,label_group_order_exact,observable_basis_dim_exact,construction,source_locator,obstruction
quant:ring:fcd580ceb627f5b86c87117afd6a277198272c54d72792768df9448054f64ea8:residue:mvp_zero_ring,ring:fcd580ceb627f5b86c87117afd6a277198272c54d72792768df9448054f64ea8,zero_ring,residue,not_applicable_until_layer_semantics,,,,,,zero_ring_quantization_policy_not_applicable_until_layer_semantics
quant:ring:532e6eb83d02b10883ad914404e41114ac3f888ce4097bf751978050c77bfc2f:residue:mvp_F_2,ring:532e6eb83d02b10883ad914404e41114ac3f888ce4097bf751978050c77bfc2f,F_2,residue,available,2,4,4,residue_field_weyl_tensor_product,CONVENTIONS.md (u): finite affine spectrum/residue-qudit convention,
quant:ring:02a6812becb7ebafd7ef3280b97ebf4f8634da4caab0eaad51e5f2569ea1b8a8:residue:mvp_F_3,ring:02a6812becb7ebafd7ef3280b97ebf4f8634da4caab0eaad51e5f2569ea1b8a8,F_3,residue,available,3,9,9,residue_field_weyl_tensor_product,CONVENTIONS.md (u): finite affine spectrum/residue-qudit convention,
quant:ring:2ba1fcde75f79acef9a9463aeeba0a9bcef5822115f07ac1ecf07e9ab5c88bb5:residue:mvp_F_5,ring:2ba1fcde75f79acef9a9463aeeba0a9bcef5822115f07ac1ecf07e9ab5c88bb5,F_5,residue,available,5,25,25,residue_field_weyl_tensor_product,CONVENTIONS.md (u): finite affine spectrum/residue-qudit convention,
quant:ring:907489c7cc1599b299c1a37f0da70863a5d326d5442c19ba4364be42146a790c:residue:mvp_Z_4Z,ring:907489c7cc1599b299c1a37f0da70863a5d326d5442c19ba4364be42146a790c,Z/4Z,residue,blocked,,,,,,missing_certified_maximal_ideal_decomposition_in_this_slice
quant:ring:4d485354ced18f95307a18eb7c3ced79d2624de3d1b09cbdca99a2f7da16a59b:residue:mvp_Z_6Z,ring:4d485354ced18f95307a18eb7c3ced79d2624de3d1b09cbdca99a2f7da16a59b,Z/6Z,residue,available,6,36,36,residue_field_weyl_tensor_product,report/sections/23_spec_z6_residue_qudit_factorisation.tex (sec:spec-z6-residue-qudit-factorisation),
quant:ring:237bad4c5b342c2f72111fa53d1d31eb687d1e7741c1cf5c8eaf587077389b14:residue:mvp_Z_8Z,ring:237bad4c5b342c2f72111fa53d1d31eb687d1e7741c1cf5c8eaf587077389b14,Z/8Z,residue,blocked,,,,,,missing_certified_maximal_ideal_decomposition_in_this_slice
quant:ring:24c6ba79d7964c38dddc2f0f9bb289378cee7aa595f875657462db7e90908eb5:residue:mvp_Z_9Z,ring:24c6ba79d7964c38dddc2f0f9bb289378cee7aa595f875657462db7e90908eb5,Z/9Z,residue,blocked,,,,,,missing_certified_maximal_ideal_decomposition_in_this_slice
quant:ring:b8a4b39f9d8c45148bca959fcefda70172655b1b9a5c25e9a58230c6658eb108:residue:mvp_F_2_e___e_2_,ring:b8a4b39f9d8c45148bca959fcefda70172655b1b9a5c25e9a58230c6658eb108,F_2[e]/(e^2),residue,blocked,,,,,,missing_certified_maximal_ideal_decomposition_in_this_slice
quant:ring:5863e071dc60abc381e24d4efb8e14add303c631125ae9a96f81b503b345028e:residue:mvp_F_3_e___e_2_,ring:5863e071dc60abc381e24d4efb8e14add303c631125ae9a96f81b503b345028e,F_3[e]/(e^2),residue,blocked,,,,,,missing_certified_maximal_ideal_decomposition_in_this_slice
quant:ring:0aa5c251a3f477e7c5513307d47e406e3657188e7f5ee728ead10a3396d31499:residue:mvp_F_2xF_2,ring:0aa5c251a3f477e7c5513307d47e406e3657188e7f5ee728ead10a3396d31499,F_2xF_2,residue,available,4,16,16,residue_field_weyl_tensor_product,CONVENTIONS.md (ad); report/sections/40_product_field_spectrum_qudit_stabilizers.tex (sec:product-field-spectrum-qudit-stabilizers),
quant:ring:4d485354ced18f95307a18eb7c3ced79d2624de3d1b09cbdca99a2f7da16a59b:residue:mvp_F_2xF_3,ring:4d485354ced18f95307a18eb7c3ced79d2624de3d1b09cbdca99a2f7da16a59b,F_2xF_3,residue,available,6,36,36,residue_field_weyl_tensor_product,CONVENTIONS.md (ad); report/sections/40_product_field_spectrum_qudit_stabilizers.tex (sec:product-field-spectrum-qudit-stabilizers),
quant:ring:1daf259eea320ff7bb4570b15bdc9602c35c53903943bf1ae076303f2b5f382c:residue:mvp_F_3xF_3,ring:1daf259eea320ff7bb4570b15bdc9602c35c53903943bf1ae076303f2b5f382c,F_3xF_3,residue,available,9,81,81,residue_field_weyl_tensor_product,CONVENTIONS.md (ad); report/sections/40_product_field_spectrum_qudit_stabilizers.tex (sec:product-field-spectrum-qudit-stabilizers),
quant:ring:fcd580ceb627f5b86c87117afd6a277198272c54d72792768df9448054f64ea8:thickened_frobenius:mvp_zero_ring,ring:fcd580ceb627f5b86c87117afd6a277198272c54d72792768df9448054f64ea8,zero_ring,thickened_frobenius,not_applicable_until_layer_semantics,,,,,,zero_ring_quantization_policy_not_applicable_until_layer_semantics
quant:ring:532e6eb83d02b10883ad914404e41114ac3f888ce4097bf751978050c77bfc2f:thickened_frobenius:mvp_F_2,ring:532e6eb83d02b10883ad914404e41114ac3f888ce4097bf751978050c77bfc2f,F_2,thickened_frobenius,blocked,,,,,,missing_certified_generating_character_in_this_slice
quant:ring:02a6812becb7ebafd7ef3280b97ebf4f8634da4caab0eaad51e5f2569ea1b8a8:thickened_frobenius:mvp_F_3,ring:02a6812becb7ebafd7ef3280b97ebf4f8634da4caab0eaad51e5f2569ea1b8a8,F_3,thickened_frobenius,blocked,,,,,,missing_thickened_frobenius_policy_in_this_slice
quant:ring:2ba1fcde75f79acef9a9463aeeba0a9bcef5822115f07ac1ecf07e9ab5c88bb5:thickened_frobenius:mvp_F_5,ring:2ba1fcde75f79acef9a9463aeeba0a9bcef5822115f07ac1ecf07e9ab5c88bb5,F_5,thickened_frobenius,blocked,,,,,,missing_certified_generating_character_in_this_slice
quant:ring:907489c7cc1599b299c1a37f0da70863a5d326d5442c19ba4364be42146a790c:thickened_frobenius:mvp_Z_4Z,ring:907489c7cc1599b299c1a37f0da70863a5d326d5442c19ba4364be42146a790c,Z/4Z,thickened_frobenius,blocked,,,,,,missing_certified_generating_character_in_this_slice
quant:ring:4d485354ced18f95307a18eb7c3ced79d2624de3d1b09cbdca99a2f7da16a59b:thickened_frobenius:mvp_Z_6Z,ring:4d485354ced18f95307a18eb7c3ced79d2624de3d1b09cbdca99a2f7da16a59b,Z/6Z,thickened_frobenius,blocked,,,,,,missing_certified_generating_character_in_this_slice
quant:ring:237bad4c5b342c2f72111fa53d1d31eb687d1e7741c1cf5c8eaf587077389b14:thickened_frobenius:mvp_Z_8Z,ring:237bad4c5b342c2f72111fa53d1d31eb687d1e7741c1cf5c8eaf587077389b14,Z/8Z,thickened_frobenius,blocked,,,,,,missing_certified_generating_character_in_this_slice
